schoolnr,from,to,connected,from_id,to_id,dyad_id,sex_from,sex_to,sex_similarity
10a,15,1,0,10a_1,10a_15,10a_1_15,1,1,1
10a,17,1,0,10a_1,10a_17,10a_1_17,0,1,0
10a,18,1,0,10a_1,10a_18,10a_1_18,0,1,0
10a,19,1,0,10a_1,10a_19,10a_1_19,0,1,0
10a,20,1,0,10a_1,10a_20,10a_1_20,0,1,0
10a,1,2,0,10a_2,10a_1,10a_1_2,1,0,0
10a,5,2,0,10a_2,10a_5,10a_2_5,1,0,0
10a,6,2,0,10a_2,10a_6,10a_2_6,0,0,1
10a,7,2,0,10a_2,10a_7,10a_2_7,1,0,0
10a,8,2,0,10a_2,10a_8,10a_2_8,1,0,0
10a,9,2,0,10a_2,10a_9,10a_2_9,1,0,0
10a,11,2,0,10a_2,10a_11,10a_2_11,0,0,1
10a,12,2,0,10a_2,10a_12,10a_2_12,1,0,0
10a,13,2,0,10a_2,10a_13,10a_2_13,1,0,0
10a,14,2,0,10a_2,10a_14,10a_2_14,1,0,0
10a,15,2,0,10a_2,10a_15,10a_2_15,1,0,0
10a,16,2,0,10a_2,10a_16,10a_2_16,1,0,0
10a,18,2,0,10a_2,10a_18,10a_2_18,0,0,1
10a,19,2,0,10a_2,10a_19,10a_2_19,0,0,1
10a,20,2,0,10a_2,10a_20,10a_2_20,0,0,1
10a,1,3,0,10a_3,10a_1,10a_1_3,1,1,1
10a,2,3,0,10a_3,10a_2,10a_2_3,0,1,0
10a,4,3,0,10a_3,10a_4,10a_3_4,0,1,0
10a,6,3,0,10a_3,10a_6,10a_3_6,0,1,0
10a,7,3,0,10a_3,10a_7,10a_3_7,1,1,1
10a,8,3,0,10a_3,10a_8,10a_3_8,1,1,1
10a,9,3,0,10a_3,10a_9,10a_3_9,1,1,1
10a,10,3,0,10a_3,10a_10,10a_3_10,0,1,0
10a,11,3,0,10a_3,10a_11,10a_3_11,0,1,0
10a,12,3,0,10a_3,10a_12,10a_3_12,1,1,1
10a,13,3,0,10a_3,10a_13,10a_3_13,1,1,1
10a,14,3,0,10a_3,10a_14,10a_3_14,1,1,1
10a,15,3,0,10a_3,10a_15,10a_3_15,1,1,1
10a,16,3,0,10a_3,10a_16,10a_3_16,1,1,1
10a,17,3,0,10a_3,10a_17,10a_3_17,0,1,0
10a,18,3,0,10a_3,10a_18,10a_3_18,0,1,0
10a,19,3,0,10a_3,10a_19,10a_3_19,0,1,0
10a,20,3,0,10a_3,10a_20,10a_3_20,0,1,0
10a,1,4,0,10a_4,10a_1,10a_1_4,1,0,0
10a,3,4,0,10a_4,10a_3,10a_3_4,1,0,0
10a,5,4,0,10a_4,10a_5,10a_4_5,1,0,0
10a,6,4,0,10a_4,10a_6,10a_4_6,0,0,1
10a,7,4,0,10a_4,10a_7,10a_4_7,1,0,0
10a,8,4,0,10a_4,10a_8,10a_4_8,1,0,0
10a,9,4,0,10a_4,10a_9,10a_4_9,1,0,0
10a,10,4,0,10a_4,10a_10,10a_4_10,0,0,1
10a,11,4,0,10a_4,10a_11,10a_4_11,0,0,1
10a,12,4,0,10a_4,10a_12,10a_4_12,1,0,0
10a,13,4,0,10a_4,10a_13,10a_4_13,1,0,0
10a,14,4,0,10a_4,10a_14,10a_4_14,1,0,0
10a,15,4,0,10a_4,10a_15,10a_4_15,1,0,0
10a,16,4,0,10a_4,10a_16,10a_4_16,1,0,0
10a,17,4,0,10a_4,10a_17,10a_4_17,0,0,1
10a,18,4,0,10a_4,10a_18,10a_4_18,0,0,1
10a,19,4,0,10a_4,10a_19,10a_4_19,0,0,1
10a,20,4,0,10a_4,10a_20,10a_4_20,0,0,1
10a,1,5,0,10a_5,10a_1,10a_1_5,1,1,1
10a,4,5,0,10a_5,10a_4,10a_4_5,0,1,0
10a,6,5,0,10a_5,10a_6,10a_5_6,0,1,0
10a,7,5,0,10a_5,10a_7,10a_5_7,1,1,1
10a,8,5,0,10a_5,10a_8,10a_5_8,1,1,1
10a,9,5,0,10a_5,10a_9,10a_5_9,1,1,1
10a,10,5,0,10a_5,10a_10,10a_5_10,0,1,0
10a,11,5,0,10a_5,10a_11,10a_5_11,0,1,0
10a,12,5,0,10a_5,10a_12,10a_5_12,1,1,1
10a,13,5,0,10a_5,10a_13,10a_5_13,1,1,1
10a,14,5,0,10a_5,10a_14,10a_5_14,1,1,1
10a,15,5,0,10a_5,10a_15,10a_5_15,1,1,1
10a,16,5,0,10a_5,10a_16,10a_5_16,1,1,1
10a,17,5,0,10a_5,10a_17,10a_5_17,0,1,0
10a,18,5,0,10a_5,10a_18,10a_5_18,0,1,0
10a,19,5,0,10a_5,10a_19,10a_5_19,0,1,0
10a,20,5,0,10a_5,10a_20,10a_5_20,0,1,0
10a,1,6,0,10a_6,10a_1,10a_1_6,1,0,0
10a,2,6,0,10a_6,10a_2,10a_2_6,0,0,1
10a,3,6,0,10a_6,10a_3,10a_3_6,1,0,0
10a,4,6,0,10a_6,10a_4,10a_4_6,0,0,1
10a,5,6,0,10a_6,10a_5,10a_5_6,1,0,0
10a,7,6,0,10a_6,10a_7,10a_6_7,1,0,0
10a,8,6,0,10a_6,10a_8,10a_6_8,1,0,0
10a,9,6,0,10a_6,10a_9,10a_6_9,1,0,0
10a,10,6,0,10a_6,10a_10,10a_6_10,0,0,1
10a,12,6,0,10a_6,10a_12,10a_6_12,1,0,0
10a,13,6,0,10a_6,10a_13,10a_6_13,1,0,0
10a,14,6,0,10a_6,10a_14,10a_6_14,1,0,0
10a,15,6,0,10a_6,10a_15,10a_6_15,1,0,0
10a,16,6,0,10a_6,10a_16,10a_6_16,1,0,0
10a,17,6,0,10a_6,10a_17,10a_6_17,0,0,1
10a,18,6,0,10a_6,10a_18,10a_6_18,0,0,1
10a,19,6,0,10a_6,10a_19,10a_6_19,0,0,1
10a,1,7,0,10a_7,10a_1,10a_1_7,1,1,1
10a,2,7,0,10a_7,10a_2,10a_2_7,0,1,0
10a,3,7,0,10a_7,10a_3,10a_3_7,1,1,1
10a,4,7,0,10a_7,10a_4,10a_4_7,0,1,0
10a,5,7,0,10a_7,10a_5,10a_5_7,1,1,1
10a,6,7,0,10a_7,10a_6,10a_6_7,0,1,0
10a,10,7,0,10a_7,10a_10,10a_7_10,0,1,0
10a,11,7,0,10a_7,10a_11,10a_7_11,0,1,0
10a,12,7,0,10a_7,10a_12,10a_7_12,1,1,1
10a,13,7,0,10a_7,10a_13,10a_7_13,1,1,1
10a,15,7,0,10a_7,10a_15,10a_7_15,1,1,1
10a,16,7,0,10a_7,10a_16,10a_7_16,1,1,1
10a,17,7,0,10a_7,10a_17,10a_7_17,0,1,0
10a,18,7,0,10a_7,10a_18,10a_7_18,0,1,0
10a,19,7,0,10a_7,10a_19,10a_7_19,0,1,0
10a,20,7,0,10a_7,10a_20,10a_7_20,0,1,0
10a,1,8,0,10a_8,10a_1,10a_1_8,1,1,1
10a,2,8,0,10a_8,10a_2,10a_2_8,0,1,0
10a,3,8,0,10a_8,10a_3,10a_3_8,1,1,1
10a,4,8,0,10a_8,10a_4,10a_4_8,0,1,0
10a,5,8,0,10a_8,10a_5,10a_5_8,1,1,1
10a,6,8,0,10a_8,10a_6,10a_6_8,0,1,0
10a,10,8,0,10a_8,10a_10,10a_8_10,0,1,0
10a,11,8,0,10a_8,10a_11,10a_8_11,0,1,0
10a,12,8,0,10a_8,10a_12,10a_8_12,1,1,1
10a,13,8,0,10a_8,10a_13,10a_8_13,1,1,1
10a,14,8,0,10a_8,10a_14,10a_8_14,1,1,1
10a,15,8,0,10a_8,10a_15,10a_8_15,1,1,1
10a,16,8,0,10a_8,10a_16,10a_8_16,1,1,1
10a,17,8,0,10a_8,10a_17,10a_8_17,0,1,0
10a,18,8,0,10a_8,10a_18,10a_8_18,0,1,0
10a,19,8,0,10a_8,10a_19,10a_8_19,0,1,0
10a,20,8,0,10a_8,10a_20,10a_8_20,0,1,0
10a,1,9,0,10a_9,10a_1,10a_1_9,1,1,1
10a,2,9,0,10a_9,10a_2,10a_2_9,0,1,0
10a,3,9,0,10a_9,10a_3,10a_3_9,1,1,1
10a,4,9,0,10a_9,10a_4,10a_4_9,0,1,0
10a,5,9,0,10a_9,10a_5,10a_5_9,1,1,1
10a,6,9,0,10a_9,10a_6,10a_6_9,0,1,0
10a,8,9,0,10a_9,10a_8,10a_8_9,1,1,1
10a,10,9,0,10a_9,10a_10,10a_9_10,0,1,0
10a,11,9,0,10a_9,10a_11,10a_9_11,0,1,0
10a,12,9,0,10a_9,10a_12,10a_9_12,1,1,1
10a,13,9,0,10a_9,10a_13,10a_9_13,1,1,1
10a,16,9,0,10a_9,10a_16,10a_9_16,1,1,1
10a,17,9,0,10a_9,10a_17,10a_9_17,0,1,0
10a,18,9,0,10a_9,10a_18,10a_9_18,0,1,0
10a,19,9,0,10a_9,10a_19,10a_9_19,0,1,0
10a,20,9,0,10a_9,10a_20,10a_9_20,0,1,0
10a,1,10,0,10a_10,10a_1,10a_1_10,1,0,0
10a,2,10,0,10a_10,10a_2,10a_2_10,0,0,1
10a,3,10,0,10a_10,10a_3,10a_3_10,1,0,0
10a,4,10,0,10a_10,10a_4,10a_4_10,0,0,1
10a,5,10,0,10a_10,10a_5,10a_5_10,1,0,0
10a,6,10,0,10a_10,10a_6,10a_6_10,0,0,1
10a,7,10,0,10a_10,10a_7,10a_7_10,1,0,0
10a,8,10,0,10a_10,10a_8,10a_8_10,1,0,0
10a,9,10,0,10a_10,10a_9,10a_9_10,1,0,0
10a,11,10,0,10a_10,10a_11,10a_10_11,0,0,1
10a,12,10,0,10a_10,10a_12,10a_10_12,1,0,0
10a,13,10,0,10a_10,10a_13,10a_10_13,1,0,0
10a,14,10,0,10a_10,10a_14,10a_10_14,1,0,0
10a,15,10,0,10a_10,10a_15,10a_10_15,1,0,0
10a,16,10,0,10a_10,10a_16,10a_10_16,1,0,0
10a,17,10,0,10a_10,10a_17,10a_10_17,0,0,1
10a,19,10,0,10a_10,10a_19,10a_10_19,0,0,1
10a,1,11,0,10a_11,10a_1,10a_1_11,1,0,0
10a,2,11,0,10a_11,10a_2,10a_2_11,0,0,1
10a,3,11,0,10a_11,10a_3,10a_3_11,1,0,0
10a,4,11,0,10a_11,10a_4,10a_4_11,0,0,1
10a,5,11,0,10a_11,10a_5,10a_5_11,1,0,0
10a,7,11,0,10a_11,10a_7,10a_7_11,1,0,0
10a,8,11,0,10a_11,10a_8,10a_8_11,1,0,0
10a,9,11,0,10a_11,10a_9,10a_9_11,1,0,0
10a,12,11,0,10a_11,10a_12,10a_11_12,1,0,0
10a,13,11,0,10a_11,10a_13,10a_11_13,1,0,0
10a,14,11,0,10a_11,10a_14,10a_11_14,1,0,0
10a,15,11,0,10a_11,10a_15,10a_11_15,1,0,0
10a,16,11,0,10a_11,10a_16,10a_11_16,1,0,0
10a,18,11,0,10a_11,10a_18,10a_11_18,0,0,1
10a,19,11,0,10a_11,10a_19,10a_11_19,0,0,1
10a,20,11,0,10a_11,10a_20,10a_11_20,0,0,1
10a,2,12,0,10a_12,10a_2,10a_2_12,0,1,0
10a,3,12,0,10a_12,10a_3,10a_3_12,1,1,1
10a,4,12,0,10a_12,10a_4,10a_4_12,0,1,0
10a,5,12,0,10a_12,10a_5,10a_5_12,1,1,1
10a,6,12,0,10a_12,10a_6,10a_6_12,0,1,0
10a,7,12,0,10a_12,10a_7,10a_7_12,1,1,1
10a,8,12,0,10a_12,10a_8,10a_8_12,1,1,1
10a,9,12,0,10a_12,10a_9,10a_9_12,1,1,1
10a,10,12,0,10a_12,10a_10,10a_10_12,0,1,0
10a,11,12,0,10a_12,10a_11,10a_11_12,0,1,0
10a,13,12,0,10a_12,10a_13,10a_12_13,1,1,1
10a,14,12,0,10a_12,10a_14,10a_12_14,1,1,1
10a,15,12,0,10a_12,10a_15,10a_12_15,1,1,1
10a,17,12,0,10a_12,10a_17,10a_12_17,0,1,0
10a,18,12,0,10a_12,10a_18,10a_12_18,0,1,0
10a,19,12,0,10a_12,10a_19,10a_12_19,0,1,0
10a,20,12,0,10a_12,10a_20,10a_12_20,0,1,0
10a,2,13,0,10a_13,10a_2,10a_2_13,0,1,0
10a,3,13,0,10a_13,10a_3,10a_3_13,1,1,1
10a,4,13,0,10a_13,10a_4,10a_4_13,0,1,0
10a,5,13,0,10a_13,10a_5,10a_5_13,1,1,1
10a,6,13,0,10a_13,10a_6,10a_6_13,0,1,0
10a,7,13,0,10a_13,10a_7,10a_7_13,1,1,1
10a,8,13,0,10a_13,10a_8,10a_8_13,1,1,1
10a,9,13,0,10a_13,10a_9,10a_9_13,1,1,1
10a,10,13,0,10a_13,10a_10,10a_10_13,0,1,0
10a,11,13,0,10a_13,10a_11,10a_11_13,0,1,0
10a,12,13,0,10a_13,10a_12,10a_12_13,1,1,1
10a,14,13,0,10a_13,10a_14,10a_13_14,1,1,1
10a,15,13,0,10a_13,10a_15,10a_13_15,1,1,1
10a,16,13,0,10a_13,10a_16,10a_13_16,1,1,1
10a,17,13,0,10a_13,10a_17,10a_13_17,0,1,0
10a,18,13,0,10a_13,10a_18,10a_13_18,0,1,0
10a,19,13,0,10a_13,10a_19,10a_13_19,0,1,0
10a,20,13,0,10a_13,10a_20,10a_13_20,0,1,0
10a,1,14,0,10a_14,10a_1,10a_1_14,1,1,1
10a,2,14,0,10a_14,10a_2,10a_2_14,0,1,0
10a,3,14,0,10a_14,10a_3,10a_3_14,1,1,1
10a,4,14,0,10a_14,10a_4,10a_4_14,0,1,0
10a,5,14,0,10a_14,10a_5,10a_5_14,1,1,1
10a,6,14,0,10a_14,10a_6,10a_6_14,0,1,0
10a,7,14,0,10a_14,10a_7,10a_7_14,1,1,1
10a,8,14,0,10a_14,10a_8,10a_8_14,1,1,1
10a,9,14,0,10a_14,10a_9,10a_9_14,1,1,1
10a,10,14,0,10a_14,10a_10,10a_10_14,0,1,0
10a,11,14,0,10a_14,10a_11,10a_11_14,0,1,0
10a,12,14,0,10a_14,10a_12,10a_12_14,1,1,1
10a,13,14,0,10a_14,10a_13,10a_13_14,1,1,1
10a,15,14,0,10a_14,10a_15,10a_14_15,1,1,1
10a,16,14,0,10a_14,10a_16,10a_14_16,1,1,1
10a,17,14,0,10a_14,10a_17,10a_14_17,0,1,0
10a,18,14,0,10a_14,10a_18,10a_14_18,0,1,0
10a,19,14,0,10a_14,10a_19,10a_14_19,0,1,0
10a,20,14,0,10a_14,10a_20,10a_14_20,0,1,0
10a,1,15,0,10a_15,10a_1,10a_1_15,1,1,1
10a,2,15,0,10a_15,10a_2,10a_2_15,0,1,0
10a,3,15,0,10a_15,10a_3,10a_3_15,1,1,1
10a,4,15,0,10a_15,10a_4,10a_4_15,0,1,0
10a,5,15,0,10a_15,10a_5,10a_5_15,1,1,1
10a,6,15,0,10a_15,10a_6,10a_6_15,0,1,0
10a,7,15,0,10a_15,10a_7,10a_7_15,1,1,1
10a,8,15,0,10a_15,10a_8,10a_8_15,1,1,1
10a,9,15,0,10a_15,10a_9,10a_9_15,1,1,1
10a,10,15,0,10a_15,10a_10,10a_10_15,0,1,0
10a,11,15,0,10a_15,10a_11,10a_11_15,0,1,0
10a,12,15,0,10a_15,10a_12,10a_12_15,1,1,1
10a,13,15,0,10a_15,10a_13,10a_13_15,1,1,1
10a,14,15,0,10a_15,10a_14,10a_14_15,1,1,1
10a,16,15,0,10a_15,10a_16,10a_15_16,1,1,1
10a,17,15,0,10a_15,10a_17,10a_15_17,0,1,0
10a,18,15,0,10a_15,10a_18,10a_15_18,0,1,0
10a,19,15,0,10a_15,10a_19,10a_15_19,0,1,0
10a,20,15,0,10a_15,10a_20,10a_15_20,0,1,0
10a,1,16,0,10a_16,10a_1,10a_1_16,1,1,1
10a,2,16,0,10a_16,10a_2,10a_2_16,0,1,0
10a,3,16,0,10a_16,10a_3,10a_3_16,1,1,1
10a,4,16,0,10a_16,10a_4,10a_4_16,0,1,0
10a,5,16,0,10a_16,10a_5,10a_5_16,1,1,1
10a,6,16,0,10a_16,10a_6,10a_6_16,0,1,0
10a,7,16,0,10a_16,10a_7,10a_7_16,1,1,1
10a,8,16,0,10a_16,10a_8,10a_8_16,1,1,1
10a,9,16,0,10a_16,10a_9,10a_9_16,1,1,1
10a,10,16,0,10a_16,10a_10,10a_10_16,0,1,0
10a,11,16,0,10a_16,10a_11,10a_11_16,0,1,0
10a,12,16,0,10a_16,10a_12,10a_12_16,1,1,1
10a,13,16,0,10a_16,10a_13,10a_13_16,1,1,1
10a,14,16,0,10a_16,10a_14,10a_14_16,1,1,1
10a,17,16,0,10a_16,10a_17,10a_16_17,0,1,0
10a,18,16,0,10a_16,10a_18,10a_16_18,0,1,0
10a,19,16,0,10a_16,10a_19,10a_16_19,0,1,0
10a,20,16,0,10a_16,10a_20,10a_16_20,0,1,0
10a,1,17,0,10a_17,10a_1,10a_1_17,1,0,0
10a,2,17,0,10a_17,10a_2,10a_2_17,0,0,1
10a,3,17,0,10a_17,10a_3,10a_3_17,1,0,0
10a,4,17,0,10a_17,10a_4,10a_4_17,0,0,1
10a,5,17,0,10a_17,10a_5,10a_5_17,1,0,0
10a,6,17,0,10a_17,10a_6,10a_6_17,0,0,1
10a,7,17,0,10a_17,10a_7,10a_7_17,1,0,0
10a,8,17,0,10a_17,10a_8,10a_8_17,1,0,0
10a,9,17,0,10a_17,10a_9,10a_9_17,1,0,0
10a,10,17,0,10a_17,10a_10,10a_10_17,0,0,1
10a,11,17,0,10a_17,10a_11,10a_11_17,0,0,1
10a,12,17,0,10a_17,10a_12,10a_12_17,1,0,0
10a,13,17,0,10a_17,10a_13,10a_13_17,1,0,0
10a,14,17,0,10a_17,10a_14,10a_14_17,1,0,0
10a,15,17,0,10a_17,10a_15,10a_15_17,1,0,0
10a,16,17,0,10a_17,10a_16,10a_16_17,1,0,0
10a,19,17,0,10a_17,10a_19,10a_17_19,0,0,1
10a,20,17,0,10a_17,10a_20,10a_17_20,0,0,1
10a,1,18,0,10a_18,10a_1,10a_1_18,1,0,0
10a,2,18,0,10a_18,10a_2,10a_2_18,0,0,1
10a,3,18,0,10a_18,10a_3,10a_3_18,1,0,0
10a,4,18,0,10a_18,10a_4,10a_4_18,0,0,1
10a,5,18,0,10a_18,10a_5,10a_5_18,1,0,0
10a,6,18,0,10a_18,10a_6,10a_6_18,0,0,1
10a,7,18,0,10a_18,10a_7,10a_7_18,1,0,0
10a,8,18,0,10a_18,10a_8,10a_8_18,1,0,0
10a,9,18,0,10a_18,10a_9,10a_9_18,1,0,0
10a,10,18,0,10a_18,10a_10,10a_10_18,0,0,1
10a,11,18,0,10a_18,10a_11,10a_11_18,0,0,1
10a,12,18,0,10a_18,10a_12,10a_12_18,1,0,0
10a,13,18,0,10a_18,10a_13,10a_13_18,1,0,0
10a,14,18,0,10a_18,10a_14,10a_14_18,1,0,0
10a,15,18,0,10a_18,10a_15,10a_15_18,1,0,0
10a,16,18,0,10a_18,10a_16,10a_16_18,1,0,0
10a,17,18,0,10a_18,10a_17,10a_17_18,0,0,1
10a,20,18,0,10a_18,10a_20,10a_18_20,0,0,1
10a,1,19,0,10a_19,10a_1,10a_1_19,1,0,0
10a,2,19,0,10a_19,10a_2,10a_2_19,0,0,1
10a,3,19,0,10a_19,10a_3,10a_3_19,1,0,0
10a,4,19,0,10a_19,10a_4,10a_4_19,0,0,1
10a,5,19,0,10a_19,10a_5,10a_5_19,1,0,0
10a,6,19,0,10a_19,10a_6,10a_6_19,0,0,1
10a,7,19,0,10a_19,10a_7,10a_7_19,1,0,0
10a,8,19,0,10a_19,10a_8,10a_8_19,1,0,0
10a,9,19,0,10a_19,10a_9,10a_9_19,1,0,0
10a,10,19,0,10a_19,10a_10,10a_10_19,0,0,1
10a,11,19,0,10a_19,10a_11,10a_11_19,0,0,1
10a,12,19,0,10a_19,10a_12,10a_12_19,1,0,0
10a,13,19,0,10a_19,10a_13,10a_13_19,1,0,0
10a,14,19,0,10a_19,10a_14,10a_14_19,1,0,0
10a,15,19,0,10a_19,10a_15,10a_15_19,1,0,0
10a,16,19,0,10a_19,10a_16,10a_16_19,1,0,0
10a,17,19,0,10a_19,10a_17,10a_17_19,0,0,1
10a,18,19,0,10a_19,10a_18,10a_18_19,0,0,1
10a,20,19,0,10a_19,10a_20,10a_19_20,0,0,1
10a,1,20,0,10a_20,10a_1,10a_1_20,1,0,0
10a,2,20,0,10a_20,10a_2,10a_2_20,0,0,1
10a,3,20,0,10a_20,10a_3,10a_3_20,1,0,0
10a,4,20,0,10a_20,10a_4,10a_4_20,0,0,1
10a,5,20,0,10a_20,10a_5,10a_5_20,1,0,0
10a,7,20,0,10a_20,10a_7,10a_7_20,1,0,0
10a,8,20,0,10a_20,10a_8,10a_8_20,1,0,0
10a,9,20,0,10a_20,10a_9,10a_9_20,1,0,0
10a,10,20,0,10a_20,10a_10,10a_10_20,0,0,1
10a,11,20,0,10a_20,10a_11,10a_11_20,0,0,1
10a,12,20,0,10a_20,10a_12,10a_12_20,1,0,0
10a,13,20,0,10a_20,10a_13,10a_13_20,1,0,0
10a,14,20,0,10a_20,10a_14,10a_14_20,1,0,0
10a,15,20,0,10a_20,10a_15,10a_15_20,1,0,0
10a,16,20,0,10a_20,10a_16,10a_16_20,1,0,0
10a,17,20,0,10a_20,10a_17,10a_17_20,0,0,1
10a,18,20,0,10a_20,10a_18,10a_18_20,0,0,1
12b,1,12,1,12b_12,12b_1,12b_1_12,0,0,1
12b,2,10,1,12b_10,12b_2,12b_2_10,0,0,1
12b,3,2,1,12b_2,12b_3,12b_2_3,0,0,1
12b,4,18,1,12b_18,12b_4,12b_4_18,1,1,1
12b,5,14,1,12b_14,12b_5,12b_5_14,1,1,1
12b,6,15,1,12b_15,12b_6,12b_6_15,0,0,1
12b,7,2,1,12b_2,12b_7,12b_2_7,0,0,1
12b,8,10,1,12b_10,12b_8,12b_8_10,0,0,1
12b,9,24,1,12b_24,12b_9,12b_9_24,0,0,1
12b,10,8,1,12b_8,12b_10,12b_8_10,0,0,1
12b,11,21,1,12b_21,12b_11,12b_11_21,0,0,1
12b,12,1,1,12b_1,12b_12,12b_1_12,0,0,1
12b,13,26,1,12b_26,12b_13,12b_13_26,1,1,1
12b,14,23,1,12b_23,12b_14,12b_14_23,1,1,1
12b,16,25,1,12b_25,12b_16,12b_16_25,1,1,1
12b,17,22,1,12b_22,12b_17,12b_17_22,0,0,1
12b,18,4,1,12b_4,12b_18,12b_4_18,1,1,1
12b,19,20,1,12b_20,12b_19,12b_19_20,0,0,1
12b,20,22,1,12b_22,12b_20,12b_20_22,0,0,1
12b,21,11,1,12b_11,12b_21,12b_11_21,0,0,1
12b,22,17,1,12b_17,12b_22,12b_17_22,0,0,1
12b,23,4,1,12b_4,12b_23,12b_4_23,1,1,1
12b,24,6,1,12b_6,12b_24,12b_6_24,0,0,1
12b,25,16,1,12b_16,12b_25,12b_16_25,1,1,1
12b,26,13,1,12b_13,12b_26,12b_13_26,1,1,1
12b,1,3,1,12b_3,12b_1,12b_1_3,0,0,1
12b,2,7,1,12b_7,12b_2,12b_2_7,0,0,1
12b,3,6,1,12b_6,12b_3,12b_3_6,0,0,1
12b,4,23,1,12b_23,12b_4,12b_4_23,1,1,1
12b,5,16,1,12b_16,12b_5,12b_5_16,1,1,1
12b,6,3,1,12b_3,12b_6,12b_3_6,0,0,1
12b,7,3,1,12b_3,12b_7,12b_3_7,0,0,1
12b,8,4,1,12b_4,12b_8,12b_4_8,0,1,0
12b,9,15,1,12b_15,12b_9,12b_9_15,0,0,1
12b,10,2,1,12b_2,12b_10,12b_2_10,0,0,1
12b,11,17,1,12b_17,12b_11,12b_11_17,0,0,1
12b,12,3,1,12b_3,12b_12,12b_3_12,0,0,1
12b,13,4,1,12b_4,12b_13,12b_4_13,1,1,1
12b,14,18,1,12b_18,12b_14,12b_14_18,1,1,1
12b,18,23,1,12b_23,12b_18,12b_18_23,1,1,1
12b,19,22,1,12b_22,12b_19,12b_19_22,0,0,1
12b,20,19,1,12b_19,12b_20,12b_19_20,0,0,1
12b,22,19,1,12b_19,12b_22,12b_19_22,0,0,1
12b,23,8,1,12b_8,12b_23,12b_8_23,1,0,0
12b,24,2,1,12b_2,12b_24,12b_2_24,0,0,1
12b,25,14,1,12b_14,12b_25,12b_14_25,1,1,1
12b,2,1,0,12b_1,12b_2,12b_1_2,0,0,1
12b,3,1,0,12b_1,12b_3,12b_1_3,0,0,1
12b,4,1,0,12b_1,12b_4,12b_1_4,1,0,0
12b,5,1,0,12b_1,12b_5,12b_1_5,1,0,0
12b,6,1,0,12b_1,12b_6,12b_1_6,0,0,1
12b,7,1,0,12b_1,12b_7,12b_1_7,0,0,1
12b,8,1,0,12b_1,12b_8,12b_1_8,0,0,1
12b,9,1,0,12b_1,12b_9,12b_1_9,0,0,1
